WKT,Type_id,Type_road,SHAPE_Leng,Name
"LINESTRING (423527.123200000263751 2933532.220799999312,423522.535099999979 2933432.67139999941,423522.520156579092145 2933432.022526754997671,423522.734293719346169 2933429.574928042013198,423523.37019869138021 2933427.201698377728462,423524.408549844461959 2933424.974947143811733,423525.817797404248267 2933422.962333050556481,423527.555122096673585 2933421.225008357781917,423529.567736190161668 2933419.815760798286647,423531.794487423903774 2933418.777409645263106,423534.167717088363133 2933418.141504673287272,423536.49280000012368 2933417.927899999544,423577.555700000375509 2933417.5708,423579.777655216632411 2933417.366666030138731,423582.045665939920582 2933416.758954388089478,423584.173692465003114 2933415.766639322973788,423586.097075782716274 2933414.419871824793518,423587.757374864304438 2933412.759572743438184,423589.104142362251878 2933410.836189425550401,423590.096457427658606 2933408.708162900526077,423590.704169069358613 2933406.44015217712149,423590.904 2933404.4611,423593.1217 2933321.516699999571,423596.903199999593198 2933289.04629999958)",1,Metal,    299.73243403500,
"LINESTRING (422641.118700000457466 2932889.661199999973,422651.120400000363588 2932875.1259,422657.994099999777973 2932864.6881,422679.924800000153482 2932852.934699999169,422679.1436 2932598.510299999267,422974.180200000293553 2932599.087799999863,423344.80420000012964 2932598.5072)",1,Metal,    975.11066556100,
"LINESTRING (423175.613099999725819 2932114.283199999481,423184.39740000013262 2932117.4801,423185.998399999924 2932117.9776,423194.283900000154972 2932117.1491,423204.446600000374019 2932112.0677,423216.303100000135601 2932101.90499999933,423217.287200000137091 2932101.061499999836,423220.661778678011615 2932098.67209239397198,423222.962000000290573 2932097.5151,423237.052000000141561 2932095.9767,423255.683600000105798 2932097.247099999338,423273.468399999663234 2932101.481499999762,423345.994900000281632 2932100.208799999207)",1,Metal,    178.01143183500,
"LINESTRING (423175.613099999725819 2932114.283199999481,423171.772300000302494 2932110.345,423169.421299999579787 2932107.934399999678,423163.415099999867 2932105.772199999541,423161.2528 2932102.1684,423161.0126 2932098.0842,423162.454099999741 2931878.2555,423164.072100000455976 2931794.59259999916,423164.898699999786913 2931767.580199999735,423164.903130378515925 2931767.179022904951125,423164.627151157415938 2931764.024565973319113,423163.807598983112257 2931760.965955619234592,423162.469375533692073 2931758.096126170828938,423160.653142051480245 2931755.502275943290442,423158.414083871815819 2931753.263217763975263,423155.820233644393738 2931751.446984281763434,423152.971900000236928 2931750.116599999368,423142.513299999758601 2931749.001,423058.906299999915 2931748.7608,423001.965300000272691 2931748.5972,422813.366600000299513 2931748.512099999934,422794.412899999879301 2931773.7838,422772.751500000245869 2931805.373299999163,422742.064500000327826 2931851.403799999505,422702.615699999966 2931901.079199999571,422692.765399999917 2931905.884199999273,422674.9216 2931914.5886,422652.454599999822676 2931925.5481,422615.40500000026077 2931945.765699999407,422605.314500000327826 2931947.92799999937,422589.457999999634922 2931948.4085,422553.7456 2931945.601299999282,422540.037999999709427 2931945.601299999282,422531.661199999973 2931951.31279999949,422500.057500000111759 2931974.920299999416,422464.849999999627471 2931995.563899999484,422448.846499999985 2932004.8942,422414.0718 2932025.168299999088,422402.694799999706447 2932031.8012,422390.29079999961 2932042.8267,422364.1036 2932074.539699999616,422328.5466 2932124.9922,422281.457600000314415 2932195.145099999383,422257.6869 2932230.558599999174,422170.605000000447035 2932360.292899999768,422100.595499999821186 2932464.5927,422106.0751 2932473.594799999148,422118.808400000445545 2932483.445,422131.541600000113249 2932489.6915,422144.515100000426173 2932499.541799999774,422172.6244 2932516.3593,422262.477800000458956 2932564.649499999359,422281.457600000314415 2932577.863299999386,422290.810200000181794 2932584.3746,422324.942800000309944 2932597.80399999954,422344.031399999745 2932605.3144,422347.519500000402331 2932606.686799999326,422353.532599999569356 2932614.141,422370.349999999627471 2932647.5357,422376.701500000432134 2932656.318399999291,422382.667899999767542 2932662.1819,422436.376699999906 2932739.4381,422436.6206 2932754.068299999461,422487.8262 2932811.857599999756,422493.190600000321865 2932814.7836,422515.135900000110269 2932806.73699999973,422579.508799999952 2932806.73699999973,422679.924800000153482 2932852.934699999169)",1,Metal,   2513.33776096000,
"LINESTRING (423162.454099999741 2931878.2555,423346.713100000284612 2931878.0273)",1,Metal,    184.25914131000,
"LINESTRING (423164.072100000455976 2931795.0054,423340.6557 2931795.418199999258,423346.847299999557436 2931796.243699999526)",1,Metal,    182.83047032100,
"LINESTRING (423802.138899999670684 2932598.0776,423910.028199999593198 2932599.294399999082,423910.691499999724329 2932599.30189999938,423910.779698276368435 2932599.302397229708731,423912.138063921418507 2932599.183555634692311,423913.455156313721091 2932598.830641791690141,423914.690956267411821 2932598.254378809593618,423915.807914626260754 2932597.472276146989316,423916.772093175677583 2932596.508097597397864,423917.5541958383983 2932595.391139238607138,423918.130458820727654 2932594.155339284799993,423918.483372663613409 2932592.838246892672032,423918.594499999657273 2932591.827199999243,423919.609699999914 2932568.9857,423919.711512103735004 2932568.059389192610979,423920.03483949782094 2932566.852714930661023,423920.56279160885606 2932565.720517974812537,423921.279326879186556 2932564.697199556976557,423922.162673747166991 2932563.813852688763291,423923.18599216529401 2932563.09731741854921,423924.318189121142495 2932562.569365307223052,423925.524863383208867 2932562.246037913486362,423926.769350764574483 2932562.137159375473857,423927.021599999628961 2932562.141599999741,424068.319299999624491 2932567.118)",1,Metal,    296.02867837200,
"LINESTRING (422983.127199999988 2932153.3201,422994.703200000338256 2932153.331299999729,422994.540400000289083 2932104.975299999118,422997.089499999769032 2931748.5832)",1,Metal,    416.33349558800,
"LINESTRING (422995.534 2931966.056299999356,423161.8739 2931966.738)",1,Metal,    166.34129687800,
"LINESTRING (423346.174200000241399 2932388.0522,423188.147199999541044 2932386.890399999917,423186.962588997266721 2932386.782369819935411,423185.76318249606993 2932386.460989816579968,423184.637804726604372 2932385.936217544600368,423183.620649722928647 2932385.223997943103313,423182.742623225145508 2932384.345971445553005,423182.030403623997699 2932383.328816441819072,423181.505631351785269 2932382.203438672237098,423181.184251348429825 2932381.004032171331346,423181.076028582639992 2932379.767040297854692,423181.0789 2932379.564799999818,423181.346699999645352 2932310.071299999952,423346.045199999585748 2932312.3)",1,Metal,    403.57840125500,
